"ServiceName","DocumentedPort","ActualPort","ProjectExists","LaunchSettingsExists","HasGraphQL","HasEntities","Status"
"Master Service","5067","5067","True","True","True","True","Implemented"
"Users Service","5004","5105","True","True","False","False","Minimal"
"Audits Service","5002","5009","True","True","False","False","Minimal"
"Actions Service","5001","5209","True","True","False","False","Minimal"
"Certificates Service","5005","5277","True","True","False","False","Minimal"
"Contracts Service","6006","5149","True","True","False","False","Minimal"
"Financial Service","5007","5010","True","True","False","False","Minimal"
"Findings Service","5008","5218","True","True","False","False","Minimal"
"Notifications Service","5009","5202","True","True","False","False","Minimal"
"Settings Service","5010","5075","True","True","False","False","Minimal"
"Overview Service","5011","5181","True","True","False","False","Minimal"
"Widgets Service","5012","5266","True","True","False","False","Minimal"
"API Gateway","5000","5271","True","True","False","False","Minimal"
